model,epsilon,accuracy,spoof_precision,spoof_recall,spoof_f1
Clean CNN,0.0,0.9175,0.9815455594002307,0.851,0.9116229244777718
Clean CNN,0.001,0.864,0.9364508393285371,0.781,0.8516902944383861
Clean CNN,0.003,0.6345,0.6335650446871897,0.638,0.635774788241156
Clean CNN,0.005,0.382,0.4056,0.507,0.45066666666666666
Clean CNN,0.01,0.1465,0.2227450980392157,0.284,0.24967032967032968
Clean CNN,0.03,0.0575,0.1031390134529148,0.115,0.10874704491725769
Clean CNN,0.05,0.046,0.08424908424908426,0.092,0.08795411089866156
Clean CNN,0.1,0.058,0.1039426523297491,0.116,0.10964083175803403
Single-Epsilon Adv CNN,0.0,0.928,0.9808988764044944,0.873,0.9238095238095239
Single-Epsilon Adv CNN,0.001,0.914,0.9736842105263158,0.851,0.9082177161152615
Single-Epsilon Adv CNN,0.003,0.8795,0.9357060849598163,0.815,0.8711918760021379
Single-Epsilon Adv CNN,0.005,0.816,0.8449781659388647,0.774,0.8079331941544885
Single-Epsilon Adv CNN,0.01,0.564,0.5545144804088586,0.651,0.5988960441582337
Single-Epsilon Adv CNN,0.03,0.138,0.21630094043887146,0.276,0.24253075571177504
Single-Epsilon Adv CNN,0.05,0.085,0.1452991452991453,0.17,0.15668202764976957
Single-Epsilon Adv CNN,0.1,0.079,0.13644214162348878,0.158,0.1464318813716404
Multi-Epsilon Adv CNN,0.0,0.9295,0.9653304442036836,0.891,0.9266770670826833
Multi-Epsilon Adv CNN,0.001,0.9165,0.9541984732824428,0.875,0.9128847157016171
Multi-Epsilon Adv CNN,0.003,0.891,0.9177350427350427,0.859,0.887396694214876
Multi-Epsilon Adv CNN,0.005,0.844,0.8474747474747475,0.839,0.84321608040201
Multi-Epsilon Adv CNN,0.01,0.706,0.673109243697479,0.801,0.7315068493150685
Multi-Epsilon Adv CNN,0.03,0.319,0.384418901660281,0.602,0.4692127825409197
Multi-Epsilon Adv CNN,0.05,0.2,0.2857142857142857,0.4,0.3333333333333333
Multi-Epsilon Adv CNN,0.1,0.128,0.20382165605095542,0.256,0.22695035460992907
