model,epsilon,alpha,num_steps,accuracy,spoof_precision,spoof_recall,spoof_f1
Clean CNN,0.0,0.0,0,0.9175,0.9815455594002307,0.851,0.9116229244777718
Clean CNN,0.001,0.00025,10,0.86,0.9326923076923077,0.776,0.8471615720524017
Clean CNN,0.003,0.00075,10,0.5845,0.5794920037629351,0.616,0.5971885603490062
Clean CNN,0.005,0.00125,10,0.303,0.34775888717156106,0.45,0.3923278116826504
Clean CNN,0.01,0.0025,10,0.079,0.13644214162348878,0.158,0.1464318813716404
Single-Epsilon Adv CNN,0.0,0.0,0,0.928,0.9808988764044944,0.873,0.9238095238095239
Single-Epsilon Adv CNN,0.001,0.00025,10,0.914,0.9736842105263158,0.851,0.9082177161152615
Single-Epsilon Adv CNN,0.003,0.00075,10,0.87,0.9233409610983981,0.807,0.8612593383137673
Single-Epsilon Adv CNN,0.005,0.00125,10,0.786,0.8016877637130801,0.76,0.7802874743326489
Single-Epsilon Adv CNN,0.01,0.0025,10,0.45,0.4616564417177914,0.602,0.5225694444444444
Multi-Epsilon Adv CNN,0.0,0.0,0,0.9295,0.9653304442036836,0.891,0.9266770670826833
Multi-Epsilon Adv CNN,0.001,0.00025,10,0.916,0.9531590413943355,0.875,0.9124087591240876
Multi-Epsilon Adv CNN,0.003,0.00075,10,0.8895,0.9148029818956337,0.859,0.88602372356885
Multi-Epsilon Adv CNN,0.005,0.00125,10,0.828,0.8234714003944773,0.835,0.8291956305858987
Multi-Epsilon Adv CNN,0.01,0.0025,10,0.644,0.6121495327102804,0.786,0.6882661996497373
PGD Adv CNN,0.0,0.0,0,0.904,0.9867469879518073,0.819,0.8950819672131147
PGD Adv CNN,0.001,0.00025,10,0.8975,0.9783393501805054,0.813,0.8880393227744402
PGD Adv CNN,0.003,0.00075,10,0.886,0.9650602409638555,0.801,0.8754098360655738
PGD Adv CNN,0.005,0.00125,10,0.8765,0.9530685920577617,0.792,0.8651010376843256
PGD Adv CNN,0.01,0.0025,10,0.795,0.8047520661157025,0.779,0.7916666666666666
