model,epsilon,alpha,num_steps,accuracy,spoof_precision,spoof_recall,spoof_f1
Clean CNN,0.0,0.0,0,0.9175,0.9815455594002307,0.851,0.9116229244777718
Clean CNN,0.001,0.00025,10,0.86,0.9326923076923077,0.776,0.8471615720524017
Clean CNN,0.003,0.00075,10,0.5855,0.5805843543826579,0.616,0.5977680737506065
Clean CNN,0.005,0.00125,10,0.303,0.3479938271604938,0.451,0.39285714285714285
Clean CNN,0.01,0.0025,10,0.079,0.13644214162348878,0.158,0.1464318813716404
Single-Epsilon Adv CNN,0.0,0.0,0,0.928,0.9808988764044944,0.873,0.9238095238095239
Single-Epsilon Adv CNN,0.001,0.00025,10,0.914,0.9736842105263158,0.851,0.9082177161152615
Single-Epsilon Adv CNN,0.003,0.00075,10,0.87,0.9233409610983981,0.807,0.8612593383137673
Single-Epsilon Adv CNN,0.005,0.00125,10,0.7865,0.8018967334035827,0.761,0.7809132888660851
Single-Epsilon Adv CNN,0.01,0.0025,10,0.448,0.46018376722817766,0.601,0.5212489158716392
Multi-Epsilon Adv CNN,0.0,0.0,0,0.9295,0.9653304442036836,0.891,0.9266770670826833
Multi-Epsilon Adv CNN,0.001,0.00025,10,0.916,0.9531590413943355,0.875,0.9124087591240876
Multi-Epsilon Adv CNN,0.003,0.00075,10,0.8895,0.9148029818956337,0.859,0.88602372356885
Multi-Epsilon Adv CNN,0.005,0.00125,10,0.8285,0.8236453201970443,0.836,0.8297766749379653
Multi-Epsilon Adv CNN,0.01,0.0025,10,0.643,0.6111975116640747,0.786,0.6876640419947506
